Date,CMCSA,VZ,TMUS,T,QCOM,QQQ,SPY,IXP,IYZ,IXTC
1/2/2013,17.399544,34.079788,15.774906,25.933586,54.45937,63.120499,130.419052,43.811684,21.551254,207.300003
1/3/2013,17.205305,33.918133,15.661067,25.948402,54.207047,62.791759,130.12442,43.53363,21.490324,206.350006
1/4/2013,17.19627,34.10289,15.823694,26.104004,53.408028,62.585098,130.695877,43.834229,21.681812,207.880005
1/7/2013,17.119488,34.403114,15.547228,26.222555,53.836983,62.603909,130.338715,43.924404,21.699221,207.619995
1/8/2013,17.236919,33.565914,15.173183,25.779766,53.752872,62.481808,129.963699,43.53363,21.368469,206.589996
1/9/2013,17.35437,33.488037,15.270761,25.69721,54.568707,62.716621,130.294067,43.796661,21.429396,205.960007
1/10/2013,17.390509,33.947521,15.823694,25.794771,54.4846,63.092319,131.329849,44.262581,21.620884,207.289993
1/11/2013,17.372435,33.721672,15.514702,25.719723,54.585529,63.176865,131.320923,44.179916,21.551254,208.410004
1/14/2013,17.580217,33.168736,15.465914,25.532099,54.030426,62.895073,131.231644,44.014584,21.385878,211.139999
1/15/2013,17.706697,32.685883,15.579753,25.336962,54.198647,62.585098,131.320923,43.698959,21.168274,211.179993
1/16/2013,17.697664,32.327637,15.173183,24.961712,54.493015,62.838726,131.303116,43.34576,21.098644,211.369995
1/17/2013,18.045469,32.810486,15.303286,24.916687,54.787384,63.139313,132.151367,43.631329,21.150871,211.539993
1/18/2013,18.190016,33.129791,15.287023,25.096802,54.400497,62.998402,132.445984,43.721508,21.307539,212.089996
1/22/2013,17.982235,33.441307,15.319549,25.224398,54.400497,63.10173,133.160309,43.736534,21.542549,212.789993
1/23/2013,18.068056,33.324497,15.514702,25.351971,54.577118,63.486835,133.374619,43.698959,21.568661,211.320007
1/24/2013,17.878349,33.168736,15.823694,25.329462,54.165001,62.613304,133.410324,43.804165,21.603477,214.410004
1/25/2013,17.959646,33.231037,15.791169,25.532099,53.54261,62.932644,134.160385,43.901859,21.542549,215.710007
1/28/2013,17.873825,33.308922,15.872483,25.614655,53.55101,63.07357,133.999649,43.931919,21.594774,215.139999
1/29/2013,17.666044,33.87743,15.85622,26.027428,53.365978,63.082932,134.52652,44.465469,21.707928,213.179993
1/30/2013,17.629906,33.963097,16.100161,25.877329,53.433262,62.951435,133.999649,44.360268,21.490324,210.669998
1/31/2013,17.20079,33.963097,16.311577,26.109985,55.527527,62.810543,133.669266,44.540627,21.734039,211.279999
2/1/2013,17.435677,34.702953,16.0839,26.650341,56.124695,63.552593,135.044342,45.014065,21.890707,213.050003
2/4/2013,17.250477,34.671799,16.100161,26.440208,55.207924,62.444214,133.526413,44.330204,21.699221,213.330002
2/5/2013,17.724764,34.702953,15.921271,26.530264,56.309734,63.364727,134.874756,44.390324,21.725334,217.070007
2/6/2013,17.494396,34.850918,15.774906,26.590307,56.503181,63.158081,134.972946,44.322689,21.79497,217.75
2/7/2013,17.44471,34.625076,15.905008,26.470222,55.964878,63.214447,134.794342,44.217487,21.742744,218.320007
2/8/2013,17.503433,34.539402,16.100161,26.470222,56.309734,63.862526,135.544403,44.307671,21.821081,218.339996
2/11/2013,17.453745,34.516033,16.425419,26.440208,56.503181,63.881329,135.51767,44.209969,21.725334,217.850006
2/12/2013,17.6028,34.609489,16.506731,26.717884,55.418201,63.618332,135.74086,44.375298,21.655703,216.399994
2/13/2013,18.126776,34.671799,16.734411,26.582798,55.048111,63.843777,135.856934,44.059677,21.594774,215.660004
2/14/2013,18.221636,34.523827,16.653095,26.485239,55.115402,63.824963,135.981918,43.42091,21.063826,214.529999
2/15/2013,18.628172,34.578342,16.831987,26.537773,55.031307,63.637108,135.821213,43.458485,21.063826,213.610001
2/19/2013,18.723024,34.656227,16.701885,26.770426,55.233162,64.097374,136.839127,43.631329,21.176983,216.020004
2/20/2013,18.497173,34.983311,16.392893,26.620325,54.896725,63.111122,135.133667,43.172913,20.959375,211.380005
2/21/2013,18.104195,35.139065,16.392893,26.590307,54.518246,62.43483,134.31218,42.917412,20.907154,208.779999
2/22/2013,18.027403,35.357136,16.181475,26.777933,54.619167,63.064167,135.624741,43.443459,21.211794,210.880005
2/25/2013,17.801554,35.606354,15.872483,26.410183,54.501431,62.284531,133.044205,42.827232,20.924562,207.839996
2/26/2013,17.928032,35.917858,15.709855,26.635338,54.896725,62.519371,133.955032,43.082741,20.881041,207.679993
2/27/2013,18.135813,36.096989,16.0839,26.905508,55.207924,63.158081,135.642639,43.511089,20.933266,210.25
2/28/2013,17.973196,36.237167,15.937534,26.950552,55.207924,63.026585,135.374786,43.398365,20.776594,209.720001
3/1/2013,18.081606,36.385139,15.953797,27.025597,55.763039,63.289585,135.821213,43.368305,20.741776,210.050003
3/4/2013,18.239704,36.688862,16.490469,27.190704,56.040581,63.571384,136.544434,43.646351,20.785299,209.460007
3/5/2013,18.497173,37.140564,16.766937,27.468388,57.167629,64.510651,137.767761,44.202457,20.863632,212.949997
3/6/2013,18.452002,36.821259,16.848249,27.235743,56.281239,64.35096,137.955246,44.277603,20.881041,216.020004
3/7/2013,18.348114,36.977016,17.222294,27.31078,56.382534,64.520058,138.205261,44.262581,20.968077,217.119995
3/8/2013,18.519758,37.350838,17.580076,27.528431,56.264355,64.5952,138.794601,44.645836,21.107347,218.139999
3/11/2013,18.578484,37.234032,17.07593,27.468388,56.306561,64.783081,139.321426,44.690926,21.098644,219.309998
3/12/2013,18.393284,37.662361,16.685623,27.558458,56.59359,64.548241,139.008926,44.653347,21.194387,217.869995
3/13/2013,18.334562,37.33527,16.425419,27.468388,56.348774,64.463699,139.205368,44.277603,21.142164,217.259995
3/14/2013,18.592033,37.755806,16.734411,27.663527,56.196812,64.679726,139.946442,44.886314,21.281429,217.919998
3/15/2013,18.388765,37.397568,16.880775,27.340807,54.846146,64.499908,139.761734,44.510567,21.133461,218.809998
3/18/2013,18.235186,37.966091,16.669359,27.130671,54.500015,64.358681,138.990356,44.367783,21.089943,217.199997
3/19/2013,18.126776,38.121849,17.010878,27.123156,54.635086,64.236313,138.667511,44.480503,21.133461,216.179993
3/20/2013,18.510727,37.849262,17.189768,27.160688,55.496151,64.68821,139.636139,44.585716,21.185688,217.619995
3/21/2013,18.248739,38.005035,17.043402,27.130671,55.166916,63.953873,138.443298,44.615776,21.063826,212.990005
3/22/2013,18.619137,38.176369,17.14098,27.340807,55.64809,64.575226,139.55545,45.014065,21.142164,212.320007
3/25/2013,18.844982,38.285389,17.238558,27.31078,55.437069,64.339874,138.972458,44.94643,21.162296,212.660004
3/26/2013,18.732056,38.534607,17.352396,27.573469,56.239033,64.68821,140.084579,45.044125,21.232309,212.960007
3/27/2013,18.858532,38.114052,17.124718,27.483406,56.289669,64.772949,140.084579,44.811165,21.074774,212.630005
3/28/2013,18.962429,38.277607,17.72644,27.535938,56.509167,64.933006,140.515106,45.036606,21.267319,213.389999
4/1/2013,18.778633,38.332119,17.970385,27.956221,55.715645,64.490509,139.959015,44.984005,21.241064,212.440002
4/2/2013,19.196136,38.550175,17.921597,28.196381,55.926682,64.998909,140.649643,45.374775,21.284821,215.660004
4/3/2013,18.978308,38.153,17.824017,27.978735,55.690315,64.405777,139.223572,44.9314,21.258564,213.960007
4/4/2013,19.114449,38.394424,18.084223,28.451548,55.555241,64.424599,139.788605,45.367264,21.468613,213.399994
4/5/2013,18.860321,38.596916,18.246851,28.534111,55.006531,63.887955,139.160812,45.344719,21.626146,209.639999
4/8/2013,18.892084,38.899887,18.328165,28.57209,55.597454,64.226906,140.102478,45.525078,21.906214,210.479996
4/9/2013,18.733255,38.844799,18.198061,28.67841,55.681862,64.659958,140.586823,45.923367,22.01123,212.809998
4/10/2013,18.887545,39.238285,18.799786,28.997402,56.804619,65.921532,142.308914,46.374256,22.545109,217.210007
4/11/2013,18.973772,39.749821,18.393217,29.270811,56.585133,65.893288,142.775238,46.697392,22.606371,218.229996
4/12/2013,19.059996,40.025265,18.734735,29.308786,56.289669,65.846222,142.425446,46.810116,22.746403,217.830002
4/15/2013,18.674255,39.852119,17.970385,28.822714,55.285103,64.546989,139.124908,46.156322,22.431328,212.820007
4/16/2013,18.792246,39.710472,17.970385,28.815117,55.555241,65.403732,141.178757,46.471954,22.632631,214.350006
4/17/2013,18.433741,38.98645,17.921597,28.6936,54.221447,64.123314,139.115952,45.915848,22.282547,210.190002
4/18/2013,18.14784,40.064602,18.198061,28.663219,53.723381,63.238338,138.245972,46.201412,22.466335,209.880005
4/19/2013,18.406509,41.119148,18.084223,29.073345,53.968201,64.104507,139.4478,46.63728,22.81642,209.740005
4/22/2013,18.365667,41.071926,18.572107,29.415115,54.516911,64.763504,140.066666,46.922836,22.895184,210.690002
4/23/2013,18.560808,41.174232,19.0112,29.620174,55.166916,65.384903,141.51062,47.140774,23.245264,213.770004
4/24/2013,18.456425,40.765011,19.141304,28.131575,55.715645,65.356636,141.600342,46.877747,22.982704,211.110001
4/25/2013,18.492735,41.882504,19.434034,28.313852,52.710369,65.704987,142.174332,47.448883,23.464067,214.289993
4/26/2013,18.774094,42.205166,19.336458,28.131575,51.933727,65.497879,141.923203,47.388763,23.280273,214.259995
