,Date,StockPrice,Log Normal StockPrice,TTMNetEPS,TTMSalesperShare,PricetoSalesRatio,BookValueperShare,TTMFCFperShare,QuarterlyRevenue,GrossProfit,CurrentAssetsInventory,OperatingIncome,QuickRatio,DebtToEquity Ratio,TTMNetIncome,LTInvestmentsDet,TotalAssets,CashOnHand,LongTermDebt,TotalLiabilities,PE Ratio,PricetoBook Ratio,Current Ratio,Shareholder Equity,ROI
1,3/31/2018,46.68,-0.0632925653082919,7.63,31.27,1.49,12.67,4.49,31772,18517,29.74,29.74,0.94,60389,27.8,165.08,264516,1923,112734,212171,6.117955439056357,3.6842936069455408,1.2467113790291793,52345,0.00024623761327373085
2,12/31/2017,51.09,0.09027297592435143,7.36,30.83,1.66,10.95,3.57,33955,19535,28.88,28.88,0.87,68955,27.41,158.33,257143,2079,113642,212456,6.9415760869565215,4.6657534246575345,1.2103353164890613,44687,0.00024086046147669344
3,9/30/2017,47.2,-0.07919489075119691,3.9,30.44,1.55,6.97,3.01,31717,19112,29.59,29.59,1.02,86866,30.21,143.77,254682,4487,115317,226231,12.102564102564104,6.771879483500718,1.1257608373741883,28451,0.0002616473110304045
4,6/30/2017,42.03,-0.11601024357448438,3.9,30.26,1.39,6.56,3.1,30548,18064,27.71,27.71,1.0,89629,29.54,143.15,252978,4583,116390,226217,10.776923076923078,6.407012195121951,1.1182979174863075,26761,0.00025349010131451866
5,3/31/2017,45.34,0.07580599606235773,3.0,30.26,1.5,6.14,3.92,29814,17767,25.96,25.96,0.97,87802,26.08,137.88,246731,4307,112839,221694,15.113333333333335,7.384364820846907,1.1129349463675156,25037,0.00023084369120478454
6,12/31/2016,49.12,0.08007663875950403,3.22,30.84,1.59,5.9,5.34,32340,17978,25.19,25.19,0.83,81401,27.06,129.47,244180,2880,105433,220148,15.254658385093165,8.325423728813558,1.1091629267583625,24032,0.0002563411030454289
7,9/30/2016,47.28,-0.03817891074104417,3.44,31.29,1.51,5.39,9.13,30937,18708,24.3,24.3,0.8,80756,28.78,124.72,239498,6441,102739,217515,13.74418604651163,8.771799628942487,1.101064294416477,21983,0.00027978766468877465
8,6/30/2016,50.29,0.06171887708603052,3.54,31.85,1.58,5.09,11.47,30532,18311,19.91,19.91,0.58,72178,29.78,113.67,231870,2857,92922,211126,14.206214689265536,9.880157170923379,1.0982541231302634,20744,0.00032009228288461836
9,3/31/2016,48.2,-0.042447229127318714,4.41,32.26,1.49,4.93,12.73,32171,19559,22.47,22.47,0.68,83512,33.04,123.72,244587,5846,103615,224484,10.929705215419501,9.776876267748479,1.0895520393435612,20103,0.00031849245874635815
10,12/31/2015,40.69,-0.16937665904295618,4.37,32.15,1.27,4.38,13.3,34254,19547,21.1,21.1,0.6,85398,33.06,121.08,244175,4820,103240,226333,9.311212814645309,9.289954337899543,1.0788307493825469,17842,0.00031984959909474634
11,9/30/2015,37.81,-0.07340874411075703,2.51,32.12,1.18,3.57,11.48,33158,19853,20.45,20.45,0.59,90518,21.18,119.6,242073,4181,105060,227531,15.06374501992032,10.591036414565828,1.0639121702097736,14542,0.0002013698473848541
12,6/30/2015,40.04,0.0573053365441783,2.41,31.58,1.27,3.17,10.12,32224,19775,20.35,20.35,0.66,96591,20.54,122.34,240753,3317,109465,227879,16.614107883817425,12.630914826498422,1.0564948942201782,12874,0.00018743040938852974
13,3/31/2015,41.31,0.031225646961653343,2.38,31.27,1.32,2.64,9.01,31984,19888,21.76,21.76,0.76,98190,20.4,119.71,235790,4933,108949,225031,17.357142857142858,15.647727272727273,1.0478111904582035,10759,0.0001870380606866992
14,12/31/2014,39.27,-0.050643732818754915,2.51,32.5,1.21,3.29,8.3,33192,18789,28.35,28.35,1.01,96860,19.6,124.21,232616,11153,110536,218940,15.64541832669323,11.936170212765958,1.0624646021741115,13676,0.00017711876744134139
